# Generado por optimizador (busqueda genetica)
# obstaculos=17 semilla=1002 mejor_fitness=13.795115
0.322857 0.189304 0.036220
0.877143 0.189304 0.036220
0.322857 0.490696 0.036220
0.877143 0.490696 0.036220
0.316605 0.044657 0.044657
0.883395 0.044657 0.044657
0.316605 0.635343 0.044657
0.883395 0.635343 0.044657
0.458979 0.274707 0.020747
0.741021 0.274707 0.020747
0.458979 0.405293 0.020747
0.741021 0.405293 0.020747
0.474645 0.132612 0.120515
0.725355 0.132612 0.120515
0.474645 0.547388 0.120515
0.725355 0.547388 0.120515
0.600000 0.340000 0.106043
