# Generado por optimizador (busqueda genetica)
# obstaculos=352 semilla=1000 mejor_fitness=11.265027
0.187819 0.018000 0.018000
0.225290 0.018000 0.018000
0.262761 0.018000 0.018000
0.300232 0.018000 0.018000
0.337703 0.018000 0.018000
0.375174 0.018000 0.018000
0.412645 0.018000 0.018000
0.450116 0.018000 0.018000
0.487587 0.018000 0.018000
0.525058 0.018000 0.018000
0.562529 0.018000 0.018000
0.600000 0.018000 0.018000
0.637471 0.018000 0.018000
0.674942 0.018000 0.018000
0.712413 0.018000 0.018000
0.749884 0.018000 0.018000
0.787355 0.018000 0.018000
0.824826 0.018000 0.018000
0.862297 0.018000 0.018000
0.899768 0.018000 0.018000
0.937239 0.018000 0.018000
0.974710 0.018000 0.018000
1.012181 0.018000 0.018000
0.191223 0.055882 0.018000
0.228385 0.055882 0.018000
0.265546 0.055882 0.018000
0.302708 0.055882 0.018000
0.339869 0.055882 0.018000
0.377031 0.055882 0.018000
0.414192 0.055882 0.018000
0.451354 0.055882 0.018000
0.488515 0.055882 0.018000
0.525677 0.055882 0.018000
0.562838 0.055882 0.018000
0.600000 0.055882 0.018000
0.637162 0.055882 0.018000
0.674323 0.055882 0.018000
0.711485 0.055882 0.018000
0.748646 0.055882 0.018000
0.785808 0.055882 0.018000
0.822969 0.055882 0.018000
0.860131 0.055882 0.018000
0.897292 0.055882 0.018000
0.934454 0.055882 0.018000
0.971615 0.055882 0.018000
1.008777 0.055882 0.018000
0.214504 0.093765 0.018000
0.251218 0.093765 0.018000
0.287932 0.093765 0.018000
0.324646 0.093765 0.018000
0.361360 0.093765 0.018000
0.398074 0.093765 0.018000
0.434787 0.093765 0.018000
0.471501 0.093765 0.018000
0.508215 0.093765 0.018000
0.544929 0.093765 0.018000
0.581643 0.093765 0.018000
0.618357 0.093765 0.018000
0.655071 0.093765 0.018000
0.691785 0.093765 0.018000
0.728499 0.093765 0.018000
0.765213 0.093765 0.018000
0.801926 0.093765 0.018000
0.838640 0.093765 0.018000
0.875354 0.093765 0.018000
0.912068 0.093765 0.018000
0.948782 0.093765 0.018000
0.985496 0.093765 0.018000
0.247134 0.131647 0.018000
0.284278 0.131647 0.018000
0.321421 0.131647 0.018000
0.358565 0.131647 0.018000
0.395709 0.131647 0.018000
0.432853 0.131647 0.018000
0.469997 0.131647 0.018000
0.507140 0.131647 0.018000
0.544284 0.131647 0.018000
0.581428 0.131647 0.018000
0.618572 0.131647 0.018000
0.655716 0.131647 0.018000
0.692860 0.131647 0.018000
0.730003 0.131647 0.018000
0.767147 0.131647 0.018000
0.804291 0.131647 0.018000
0.841435 0.131647 0.018000
0.878579 0.131647 0.018000
0.915722 0.131647 0.018000
0.952866 0.131647 0.018000
0.267118 0.169529 0.018000
0.304105 0.169529 0.018000
0.341092 0.169529 0.018000
0.378079 0.169529 0.018000
0.415066 0.169529 0.018000
0.452053 0.169529 0.018000
0.489039 0.169529 0.018000
0.526026 0.169529 0.018000
0.563013 0.169529 0.018000
0.600000 0.169529 0.018000
0.636987 0.169529 0.018000
0.673974 0.169529 0.018000
0.710961 0.169529 0.018000
0.747947 0.169529 0.018000
0.784934 0.169529 0.018000
0.821921 0.169529 0.018000
0.858908 0.169529 0.018000
0.895895 0.169529 0.018000
0.932882 0.169529 0.018000
0.284235 0.207412 0.018000
0.321384 0.207412 0.018000
0.358533 0.207412 0.018000
0.395681 0.207412 0.018000
0.432830 0.207412 0.018000
0.469979 0.207412 0.018000
0.507128 0.207412 0.018000
0.544277 0.207412 0.018000
0.581426 0.207412 0.018000
0.618574 0.207412 0.018000
0.655723 0.207412 0.018000
0.692872 0.207412 0.018000
0.730021 0.207412 0.018000
0.767170 0.207412 0.018000
0.804319 0.207412 0.018000
0.841467 0.207412 0.018000
0.878616 0.207412 0.018000
0.915765 0.207412 0.018000
0.288965 0.245294 0.018000
0.325558 0.245294 0.018000
0.362150 0.245294 0.018000
0.398742 0.245294 0.018000
0.435335 0.245294 0.018000
0.471927 0.245294 0.018000
0.508519 0.245294 0.018000
0.545112 0.245294 0.018000
0.581704 0.245294 0.018000
0.618296 0.245294 0.018000
0.654888 0.245294 0.018000
0.691481 0.245294 0.018000
0.728073 0.245294 0.018000
0.764665 0.245294 0.018000
0.801258 0.245294 0.018000
0.837850 0.245294 0.018000
0.874442 0.245294 0.018000
0.911035 0.245294 0.018000
0.299448 0.283176 0.018000
0.337017 0.283176 0.018000
0.374586 0.283176 0.018000
0.412155 0.283176 0.018000
0.449724 0.283176 0.018000
0.487293 0.283176 0.018000
0.524862 0.283176 0.018000
0.562431 0.283176 0.018000
0.600000 0.283176 0.018000
0.637569 0.283176 0.018000
0.675138 0.283176 0.018000
0.712707 0.283176 0.018000
0.750276 0.283176 0.018000
0.787845 0.283176 0.018000
0.825414 0.283176 0.018000
0.862983 0.283176 0.018000
0.900552 0.283176 0.018000
0.323675 0.321059 0.018000
0.360518 0.321059 0.018000
0.397362 0.321059 0.018000
0.434205 0.321059 0.018000
0.471048 0.321059 0.018000
0.507892 0.321059 0.018000
0.544735 0.321059 0.018000
0.581578 0.321059 0.018000
0.618422 0.321059 0.018000
0.655265 0.321059 0.018000
0.692108 0.321059 0.018000
0.728952 0.321059 0.018000
0.765795 0.321059 0.018000
0.802638 0.321059 0.018000
0.839482 0.321059 0.018000
0.876325 0.321059 0.018000
0.323675 0.358941 0.018000
0.360518 0.358941 0.018000
0.397362 0.358941 0.018000
0.434205 0.358941 0.018000
0.471048 0.358941 0.018000
0.507892 0.358941 0.018000
0.544735 0.358941 0.018000
0.581578 0.358941 0.018000
0.618422 0.358941 0.018000
0.655265 0.358941 0.018000
0.692108 0.358941 0.018000
0.728952 0.358941 0.018000
0.765795 0.358941 0.018000
0.802638 0.358941 0.018000
0.839482 0.358941 0.018000
0.876325 0.358941 0.018000
0.299448 0.396824 0.018000
0.337017 0.396824 0.018000
0.374586 0.396824 0.018000
0.412155 0.396824 0.018000
0.449724 0.396824 0.018000
0.487293 0.396824 0.018000
0.524862 0.396824 0.018000
0.562431 0.396824 0.018000
0.600000 0.396824 0.018000
0.637569 0.396824 0.018000
0.675138 0.396824 0.018000
0.712707 0.396824 0.018000
0.750276 0.396824 0.018000
0.787845 0.396824 0.018000
0.825414 0.396824 0.018000
0.862983 0.396824 0.018000
0.900552 0.396824 0.018000
0.288965 0.434706 0.018000
0.325558 0.434706 0.018000
0.362150 0.434706 0.018000
0.398742 0.434706 0.018000
0.435335 0.434706 0.018000
0.471927 0.434706 0.018000
0.508519 0.434706 0.018000
0.545112 0.434706 0.018000
0.581704 0.434706 0.018000
0.618296 0.434706 0.018000
0.654888 0.434706 0.018000
0.691481 0.434706 0.018000
0.728073 0.434706 0.018000
0.764665 0.434706 0.018000
0.801258 0.434706 0.018000
0.837850 0.434706 0.018000
0.874442 0.434706 0.018000
0.911035 0.434706 0.018000
0.284235 0.472588 0.018000
0.321384 0.472588 0.018000
0.358533 0.472588 0.018000
0.395681 0.472588 0.018000
0.432830 0.472588 0.018000
0.469979 0.472588 0.018000
0.507128 0.472588 0.018000
0.544277 0.472588 0.018000
0.581426 0.472588 0.018000
0.618574 0.472588 0.018000
0.655723 0.472588 0.018000
0.692872 0.472588 0.018000
0.730021 0.472588 0.018000
0.767170 0.472588 0.018000
0.804319 0.472588 0.018000
0.841467 0.472588 0.018000
0.878616 0.472588 0.018000
0.915765 0.472588 0.018000
