# Generado por optimizador (busqueda genetica)
# obstaculos=360 semilla=1000 mejor_fitness=11.487445
0.182368 0.018000 0.018000
0.218684 0.018000 0.018000
0.255000 0.018000 0.018000
0.291315 0.018000 0.018000
0.327631 0.018000 0.018000
0.363947 0.018000 0.018000
0.400263 0.018000 0.018000
0.436579 0.018000 0.018000
0.472895 0.018000 0.018000
0.509210 0.018000 0.018000
0.545526 0.018000 0.018000
0.581842 0.018000 0.018000
0.618158 0.018000 0.018000
0.654474 0.018000 0.018000
0.690790 0.018000 0.018000
0.727105 0.018000 0.018000
0.763421 0.018000 0.018000
0.799737 0.018000 0.018000
0.836053 0.018000 0.018000
0.872369 0.018000 0.018000
0.908685 0.018000 0.018000
0.945000 0.018000 0.018000
0.981316 0.018000 0.018000
1.017632 0.018000 0.018000
0.166108 0.055882 0.018000
0.202266 0.055882 0.018000
0.238424 0.055882 0.018000
0.274581 0.055882 0.018000
0.310739 0.055882 0.018000
0.346896 0.055882 0.018000
0.383054 0.055882 0.018000
0.419212 0.055882 0.018000
0.455369 0.055882 0.018000
0.491527 0.055882 0.018000
0.527685 0.055882 0.018000
0.563842 0.055882 0.018000
0.600000 0.055882 0.018000
0.636158 0.055882 0.018000
0.672315 0.055882 0.018000
0.708473 0.055882 0.018000
0.744631 0.055882 0.018000
0.780788 0.055882 0.018000
0.816946 0.055882 0.018000
0.853104 0.055882 0.018000
0.889261 0.055882 0.018000
0.925419 0.055882 0.018000
0.961576 0.055882 0.018000
0.997734 0.055882 0.018000
1.033892 0.055882 0.018000
0.208645 0.093765 0.018000
0.245917 0.093765 0.018000
0.283189 0.093765 0.018000
0.320461 0.093765 0.018000
0.357733 0.093765 0.018000
0.395004 0.093765 0.018000
0.432276 0.093765 0.018000
0.469548 0.093765 0.018000
0.506820 0.093765 0.018000
0.544092 0.093765 0.018000
0.581364 0.093765 0.018000
0.618636 0.093765 0.018000
0.655908 0.093765 0.018000
0.693180 0.093765 0.018000
0.730452 0.093765 0.018000
0.767724 0.093765 0.018000
0.804996 0.093765 0.018000
0.842267 0.093765 0.018000
0.879539 0.093765 0.018000
0.916811 0.093765 0.018000
0.954083 0.093765 0.018000
0.991355 0.093765 0.018000
0.278835 0.131647 0.018000
0.316619 0.131647 0.018000
0.354403 0.131647 0.018000
0.392187 0.131647 0.018000
0.429971 0.131647 0.018000
0.467756 0.131647 0.018000
0.505540 0.131647 0.018000
0.543324 0.131647 0.018000
0.581108 0.131647 0.018000
0.618892 0.131647 0.018000
0.656676 0.131647 0.018000
0.694460 0.131647 0.018000
0.732244 0.131647 0.018000
0.770029 0.131647 0.018000
0.807813 0.131647 0.018000
0.845597 0.131647 0.018000
0.883381 0.131647 0.018000
0.921165 0.131647 0.018000
0.257937 0.169529 0.018000
0.295944 0.169529 0.018000
0.333951 0.169529 0.018000
0.371958 0.169529 0.018000
0.409965 0.169529 0.018000
0.447972 0.169529 0.018000
0.485979 0.169529 0.018000
0.523986 0.169529 0.018000
0.561993 0.169529 0.018000
0.600000 0.169529 0.018000
0.638007 0.169529 0.018000
0.676014 0.169529 0.018000
0.714021 0.169529 0.018000
0.752028 0.169529 0.018000
0.790035 0.169529 0.018000
0.828042 0.169529 0.018000
0.866049 0.169529 0.018000
0.904056 0.169529 0.018000
0.942063 0.169529 0.018000
0.233180 0.207412 0.018000
0.269862 0.207412 0.018000
0.306544 0.207412 0.018000
0.343226 0.207412 0.018000
0.379908 0.207412 0.018000
0.416590 0.207412 0.018000
0.453272 0.207412 0.018000
0.489954 0.207412 0.018000
0.526636 0.207412 0.018000
0.563318 0.207412 0.018000
0.600000 0.207412 0.018000
0.636682 0.207412 0.018000
0.673364 0.207412 0.018000
0.710046 0.207412 0.018000
0.746728 0.207412 0.018000
0.783410 0.207412 0.018000
0.820092 0.207412 0.018000
0.856774 0.207412 0.018000
0.893456 0.207412 0.018000
0.930138 0.207412 0.018000
0.966820 0.207412 0.018000
0.288909 0.245294 0.018000
0.325508 0.245294 0.018000
0.362107 0.245294 0.018000
0.398706 0.245294 0.018000
0.435305 0.245294 0.018000
0.471904 0.245294 0.018000
0.508503 0.245294 0.018000
0.545102 0.245294 0.018000
0.581701 0.245294 0.018000
0.618299 0.245294 0.018000
0.654898 0.245294 0.018000
0.691497 0.245294 0.018000
0.728096 0.245294 0.018000
0.764695 0.245294 0.018000
0.801294 0.245294 0.018000
0.837893 0.245294 0.018000
0.874492 0.245294 0.018000
0.911091 0.245294 0.018000
0.323558 0.283176 0.018000
0.360417 0.283176 0.018000
0.397276 0.283176 0.018000
0.434135 0.283176 0.018000
0.470994 0.283176 0.018000
0.507853 0.283176 0.018000
0.544712 0.283176 0.018000
0.581571 0.283176 0.018000
0.618429 0.283176 0.018000
0.655288 0.283176 0.018000
0.692147 0.283176 0.018000
0.729006 0.283176 0.018000
0.765865 0.283176 0.018000
0.802724 0.283176 0.018000
0.839583 0.283176 0.018000
0.876442 0.283176 0.018000
0.307833 0.321059 0.018000
0.344354 0.321059 0.018000
0.380875 0.321059 0.018000
0.417396 0.321059 0.018000
0.453916 0.321059 0.018000
0.490437 0.321059 0.018000
0.526958 0.321059 0.018000
0.563479 0.321059 0.018000
0.600000 0.321059 0.018000
0.636521 0.321059 0.018000
0.673042 0.321059 0.018000
0.709563 0.321059 0.018000
0.746084 0.321059 0.018000
0.782604 0.321059 0.018000
0.819125 0.321059 0.018000
0.855646 0.321059 0.018000
0.892167 0.321059 0.018000
0.307833 0.358941 0.018000
0.344354 0.358941 0.018000
0.380875 0.358941 0.018000
0.417396 0.358941 0.018000
0.453916 0.358941 0.018000
0.490437 0.358941 0.018000
0.526958 0.358941 0.018000
0.563479 0.358941 0.018000
0.600000 0.358941 0.018000
0.636521 0.358941 0.018000
0.673042 0.358941 0.018000
0.709563 0.358941 0.018000
0.746084 0.358941 0.018000
0.782604 0.358941 0.018000
0.819125 0.358941 0.018000
0.855646 0.358941 0.018000
0.892167 0.358941 0.018000
0.323558 0.396824 0.018000
0.360417 0.396824 0.018000
0.397276 0.396824 0.018000
0.434135 0.396824 0.018000
0.470994 0.396824 0.018000
0.507853 0.396824 0.018000
0.544712 0.396824 0.018000
0.581571 0.396824 0.018000
0.618429 0.396824 0.018000
0.655288 0.396824 0.018000
0.692147 0.396824 0.018000
0.729006 0.396824 0.018000
0.765865 0.396824 0.018000
0.802724 0.396824 0.018000
0.839583 0.396824 0.018000
0.876442 0.396824 0.018000
0.288909 0.434706 0.018000
0.325508 0.434706 0.018000
0.362107 0.434706 0.018000
0.398706 0.434706 0.018000
0.435305 0.434706 0.018000
0.471904 0.434706 0.018000
0.508503 0.434706 0.018000
0.545102 0.434706 0.018000
0.581701 0.434706 0.018000
0.618299 0.434706 0.018000
0.654898 0.434706 0.018000
0.691497 0.434706 0.018000
0.728096 0.434706 0.018000
0.764695 0.434706 0.018000
0.801294 0.434706 0.018000
0.837893 0.434706 0.018000
0.874492 0.434706 0.018000
0.911091 0.434706 0.018000
0.233180 0.472588 0.018000
0.269862 0.472588 0.018000
0.306544 0.472588 0.018000
0.343226 0.472588 0.018000
0.379908 0.472588 0.018000
0.416590 0.472588 0.018000
0.453272 0.472588 0.018000
0.489954 0.472588 0.018000
0.526636 0.472588 0.018000
0.563318 0.472588 0.018000
0.600000 0.472588 0.018000
0.636682 0.472588 0.018000
0.673364 0.472588 0.018000
0.710046 0.472588 0.018000
0.746728 0.472588 0.018000
0.783410 0.472588 0.018000
0.820092 0.472588 0.018000
0.856774 0.472588 0.018000
0.893456 0.472588 0.018000
0.930138 0.472588 0.018000
0.966820 0.472588 0.018000
0.257937 0.510471 0.018000
0.295944 0.510471 0.018000
0.333951 0.510471 0.018000
0.371958 0.510471 0.018000
0.409965 0.510471 0.018000
0.447972 0.510471 0.018000
0.485979 0.510471 0.018000
0.523986 0.510471 0.018000
0.561993 0.510471 0.018000
0.600000 0.510471 0.018000
0.638007 0.510471 0.018000
0.676014 0.510471 0.018000
0.714021 0.510471 0.018000
0.752028 0.510471 0.018000
0.790035 0.510471 0.018000
0.828042 0.510471 0.018000
0.866049 0.510471 0.018000
0.904056 0.510471 0.018000
0.942063 0.510471 0.018000
0.278835 0.548353 0.018000
0.316619 0.548353 0.018000
0.354403 0.548353 0.018000
0.392187 0.548353 0.018000
0.429971 0.548353 0.018000
0.467756 0.548353 0.018000
0.505540 0.548353 0.018000
0.543324 0.548353 0.018000
0.581108 0.548353 0.018000
0.618892 0.548353 0.018000
0.656676 0.548353 0.018000
0.694460 0.548353 0.018000
0.732244 0.548353 0.018000
0.770029 0.548353 0.018000
0.807813 0.548353 0.018000
0.845597 0.548353 0.018000
0.883381 0.548353 0.018000
0.921165 0.548353 0.018000
0.208645 0.586235 0.018000
0.245917 0.586235 0.018000
0.283189 0.586235 0.018000
0.320461 0.586235 0.018000
0.357733 0.586235 0.018000
0.395004 0.586235 0.018000
0.432276 0.586235 0.018000
0.469548 0.586235 0.018000
0.506820 0.586235 0.018000
0.544092 0.586235 0.018000
0.581364 0.586235 0.018000
0.618636 0.586235 0.018000
0.655908 0.586235 0.018000
0.693180 0.586235 0.018000
0.730452 0.586235 0.018000
0.767724 0.586235 0.018000
0.804996 0.586235 0.018000
0.842267 0.586235 0.018000
0.879539 0.586235 0.018000
0.916811 0.586235 0.018000
0.954083 0.586235 0.018000
0.991355 0.586235 0.018000
0.166108 0.624118 0.018000
0.202266 0.624118 0.018000
0.238424 0.624118 0.018000
0.274581 0.624118 0.018000
0.310739 0.624118 0.018000
0.346896 0.624118 0.018000
0.383054 0.624118 0.018000
0.419212 0.624118 0.018000
0.455369 0.624118 0.018000
0.491527 0.624118 0.018000
0.527685 0.624118 0.018000
0.563842 0.624118 0.018000
0.600000 0.624118 0.018000
0.636158 0.624118 0.018000
0.672315 0.624118 0.018000
0.708473 0.624118 0.018000
0.744631 0.624118 0.018000
0.780788 0.624118 0.018000
0.816946 0.624118 0.018000
0.853104 0.624118 0.018000
0.889261 0.624118 0.018000
0.925419 0.624118 0.018000
0.961576 0.624118 0.018000
0.997734 0.624118 0.018000
1.033892 0.624118 0.018000
0.182368 0.662000 0.018000
0.218684 0.662000 0.018000
0.255000 0.662000 0.018000
